Switzerland              ,69268
United States            ,56094
Germany                  ,39475
Canada                   ,22669
United Kingdom           ,21215
Netherlands              ,10087
Finland                  ,6833
Australia                ,5370
Spain                    ,4687
Sweden                   ,4572
Austria                  ,4427
France                   ,3886
Slovenia                 ,3620
Italy                    ,3221
Belgium                  ,2005
Bulgaria                 ,1862
Thailand                 ,1786
Poland                   ,1688
Lithuania                ,1455
Czech Republic           ,1225
Iceland                  ,1146
Brazil                   ,986
Norway                   ,971
Portugal                 ,903
India                    ,739
New Zealand              ,642
Ireland                  ,543
Unknown                  ,498
Chile                    ,474
South Korea              ,461
Argentina                ,450
Singapore                ,416
Mexico                   ,345
Denmark                  ,287
Egypt                    ,284
Uruguay                  ,271
Hong Kong                ,264
Luxembourg               ,243
Saudi Arabia             ,239
Romania                  ,227
Russia                   ,215
Estonia                  ,185
Japan                    ,153
Ukraine                  ,151
Israel                   ,149
unknown                  ,109
Morocco                  ,107
Bosnia and Herzegovina   ,96
Greece                   ,91
Turkey                   ,82
Puerto Rico              ,76
Hungary                  ,58
Serbia                   ,39
United Arab Emirates     ,34
Georgia                  ,33
Kuwait                   ,24
Gibraltar                ,21
Latvia                   ,15
Colombia                 ,14
Pakistan                 ,11
Albania                  ,6
Honduras                 ,5
Malaysia                 ,5
Vietnam                  ,4
Philippines              ,2
Sri Lanka                ,2
